created_at,treatment,sentiment,polarity,subjectivity,text,tweet_words
10/17/2020 21:13,covid-19 vaccine,Negative,-0.104545455,0.484848485,halted trials raise new safety questions about rushed covid19 vaccines first and foremost there  bad luck  ,halted trials raise new safety questions rushed covid19 vaccines first foremost bad luck
10/17/2020 21:11,covid-19 vaccine,Negative,-0.333333333,0.666666667,20 volunteers suffer serious reactions to johnson amp johnson  ,20 volunteers suffer serious reactions johnson amp johnson
10/17/2020 21:06,covid-19 vaccine,Negative,-0.5,1,corrupt fuckers you can shove your travel pass and vaccine up your arse ,corrupt fuckers shove travel pass vaccine arse
10/17/2020 21:05,covid-19 vaccine,Negative,-0.1,0.1,how dare you put trump propaganda on your news chyron about an agreement with cvs and walgreens to provide covid ,dare put trump propaganda news chyron agreement cvs walgreens provide covid
10/17/2020 21:04,covid-19 vaccine,Negative,-0.1,0.833333333,two covid19 vaccines stalled by potential side effects have one key feature in common both are based on adenoviru ,two covid19 vaccines stalled potential side effects key feature common based adenoviru
10/17/2020 21:03,covid-19 vaccine,Negative,-0.133333333,0.233333333,idk how why or when mask wearing and social distancing was communicated as an interim plan to slow the spread of ,idk mask wearing social distancing communicated interim plan slow spread
10/17/2020 21:03,covid-19 vaccine,Negative,-0.1,0.1, how dare you put trump propaganda on your news chyron about an agreement with cvs and walgreens to provi ,dare put trump propaganda news chyron agreement cvs walgreens provi
10/17/2020 21:00,covid-19 vaccine,Negative,-0.3,0.5,are you mistaking your allergies or the flu for coronavirus symptoms the common misconceptions of flu shots and wh ,mistaking allergies flu coronavirus symptoms common misconceptions flu shots wh
10/17/2020 20:56,covid-19 vaccine,Negative,-0.333333333,0.666666667,20 volunteers suffer serious reactions to johnson amp johnson  ,20 volunteers suffer serious reactions johnson amp johnson
10/17/2020 20:54,covid-19 vaccine,Negative,-0.45,0.75, look at it this way the common cold is  form of corona virus and they still don  hav ,look way common cold form corona virus still hav
10/17/2020 20:51,covid-19 vaccine,Negative,-0.4,0.6, sdpe is horrific read the case study on the cdc measles is not something that you want much like ,sdpe horrific read case study cdc measles something much like
10/17/2020 20:50,covid-19 vaccine,Negative,-0.15,0.7, they love to gossip about democrats herd immunity crap ,love gossip democrats herd immunity crap
10/17/2020 20:45,covid-19 vaccine,Negative,-0.2,0.1,considered one of the few ways to bring the pandemic under control the search for  covid19 vaccine is moving fas ,considered ways bring pandemic control search covid19 vaccine moving fas
10/17/2020 20:37,covid-19 vaccine,Negative,-0.1,0.4,fact the flu vaccine does not and cannot cause the flu some people may get  feverish reaction to  flu shot but ,fact flu vaccine cause flu people may get feverish reaction flu shot
10/17/2020 20:36,covid-19 vaccine,Negative,-0.25,0.5, please president trump do something out of the ordinary productive take some of your campaign mo ,please president trump something ordinary productive campaign mo
10/17/2020 20:35,covid-19 vaccine,Negative,-0.2,0.4,indonesia has penned an agreement with the pharmaceutical firm astrazeneca to supply the country with 100 million  ,indonesia penned agreement pharmaceutical firm astrazeneca supply country 100 million
10/17/2020 20:29,covid-19 vaccine,Negative,-0.2,0.4,indonesia has penned an agreement with the pharmaceutical firm astrazeneca to supply the country with 100 million  ,indonesia penned agreement pharmaceutical firm astrazeneca supply country 100 million
10/17/2020 20:27,covid-19 vaccine,Negative,-0.333333333,0.666666667,20 volunteers suffer serious reactions to johnson amp johnson  covid19 vaccine the vaccine reaction ,20 volunteers suffer serious reactions johnson amp johnson covid19 vaccine vaccine reaction
10/17/2020 20:21,covid-19 vaccine,Negative,-0.5,0.9, you are wrong about the flu killing millions of course you don  spe ,wrong flu killing millions course spe
10/17/2020 20:15,covid-19 vaccine,Negative,-0.063541667,0.375,states are getting little federal assistance as they scramble to find medical grade deep freezers or dry ice for on ,states getting little federal assistance scramble find medical grade deep freezers dry ice
10/17/2020 20:13,covid-19 vaccine,Negative,-0.6,0.8, ummmm  vaccine for covid19 doesn  even fucking exist yet this is just another bullshit smoke and mirrors dog and pony show ,ummmm vaccine covid19 even fucking exist yet another bullshit smoke mirrors pony show
10/17/2020 20:10,covid-19 vaccine,Negative,-0.05,0.05, to the nearest medical center to get  shot of the covid19 vaccine ,nearest medical center get shot covid19 vaccine
10/17/2020 20:04,covid-19 vaccine,Negative,-0.4,0.6,russia receives renewed approval for covid19 vaccine trials in india poor india has millions of people amp hundreds ,russia receives renewed approval covid19 vaccine trials india poor india millions people amp hundreds
